Model,CV_AUC_mean,CV_AUC_std,AUC,F1,Precision,Recall,Accuracy,best_params
LogisticRegression,0.7987,0.0161,0.785,0.7392,0.7698,0.711,0.7124,{'clf__C': 0.1}
RandomForest,0.7999,0.0177,0.7816,0.7454,0.7467,0.7442,0.7086,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5}"
KNN,0.7794,0.0177,0.7675,0.7206,0.7395,0.7027,0.6876,{'clf__n_neighbors': 21}
GaussianNB,0.7741,0.0145,0.7601,0.7441,0.7237,0.7658,0.6981,{}
SVM_RBF,0.7846,0.0198,0.7595,0.745,0.7525,0.7375,0.7105,"{'clf__C': 1.0, 'clf__gamma': 'scale'}"
DecisionTree,0.7748,0.012,0.7484,0.7237,0.7536,0.696,0.6952,"{'clf__max_depth': 6, 'clf__min_samples_leaf': 5}"
